name,text_tokens,deepcut,Number of cuts token,Number of cut deepcut,pos
ด้านชีวิตในวงการบันเทิง ไต้ฝุ่น กนกฉัตร เข้าประกวด เคพีเอ็น อวอร์ด ครั้งที่ 21 เมื่อปี 2554 คว้ารางวัลนักร้องยอดเยี่ยมแห่งประเทศไทย อันดับที่ 2 หลังจากนั้นเขาได้มีผลงานเพลง รวมถึงม๊โอกาสได้เข้าวงการบันเทิงเต็มตัว มีผลงานการแสดงเรื่อยมา จนถึงปัจจุบัน,ด้าน|ชีวิต|ใน|วงการ|บันเทิง| |ไต้ฝุ่น| |กนก|ฉัตร| |เข้า|ประกวด| |เค|พี|เอ็น| |อวอร์ด| |ครั้ง|ที่| |21| |เมื่อ|ปี| |2554| |คว้ารางวัล|นักร้อง|ยอดเยี่ยม|แห่ง|ประเทศ|ไทย| |อันดับ|ที่| |2| |หลังจากนั้น|เขา|ได้|มี|ผลงาน|เพลง| |รวมถึง|ม๊|โอกาส|ได้|เข้า|วงการ|บันเทิง|เต็มตัว| |มี|ผลงาน|การแสดง|เรื่อย|มา| |จนถึง|ปัจจุบัน,,,,"[('ด้าน', 'NOUN'), ('ชีวิต', 'NOUN'), ('ใน', 'ADP'), ('วงการ', 'NOUN'), ('บันเทิง', 'NOUN'), ('ไต้ฝุ่น', 'NOUN'), ('กนก', 'VERB'), ('ฉัตร', 'NOUN'), ('เข้า', 'VERB'), ('ประกวด', 'VERB'), ('เคพีเอ็นอวอร์ด', 'NOUN'), ('ครั้ง', 'NOUN'), ('ที่', 'SCONJ'), ('21', 'NUM'), ('เมื่อ', 'SCONJ'), ('ปี', 'NOUN'), ('2554', 'NUM'), ('คว้า', 'NOUN'), ('รางวัล', 'ADJ'), ('นัก', 'ADV'), ('ร้อง', 'NOUN'), ('ยอดเยี่ยมแห่งประเทศไทย', 'PROPN'), ('อันดับ', 'NOUN'), ('ที่', 'SCONJ'), ('2', 'NUM'), ('หลัง', 'NOUN'), ('จาก', 'ADP'), ('นั้น', 'DET'), ('เขา', 'PRON'), ('ได้', 'AUX'), ('มี', 'VERB'), ('ผล', 'NOUN'), ('งาน', 'NOUN'), ('เพลง', 'VERB'), ('รวม', 'VERB'), ('ถึง', 'ADP'), ('ม๊', 'NOUN'), ('โอกาส', 'NOUN'), ('ได้', 'AUX'), ('เข้า', 'VERB'), ('วงการ', 'NOUN'), ('บันเทิง', 'NOUN'), ('เต็ม', 'VERB'), ('ตัว', 'NOUN'), ('มี', 'VERB'), ('ผล', 'NOUN'), ('งาน', 'NOUN'), ('การ', 'NOUN'), ('แสดง', 'VERB'), ('เรื่อย', 'NOUN'), ('มา', 'AUX'), ('จน', 'SCONJ'), ('ถึง', 'ADP'), ('ปัจจุบัน', 'NOUN')]"
"มิโนรุ คิมูระ นักสู้ชาวญี่ปุ่น เคลื่อนไหวโลกโซเชียล หลังแพ้น็อก บัวขาว บัญชาเมฆ คาบ้าน ในยกที่ 2 ควันหลงจากศึกคิกบ็อกซิ่ง RIZIN IN KOBE ที่ประเทศญี่ปุ่น ในพิกัด 74 กิโลกรัม เมื่อวันเสาร์ที่ผ่านมา ซึ่ง บัวขาว บัญชาเมฆ นักชกชื่อดังขวัญใจชาวไทย อดีตแชมป์ K-1 สองสมัย (2004, 2006) เอาชนะน็อก มิโนรุ คิมูระ นักสู้เจ้าถิ่น ไปในยกที่ 2 ล่าสุด คิมูระ มีการเคลื่อนไหวทางอินสตาแกรม โดยเขาได้แชร์ไอจีสตอรี่คำพูดหลังการชกของ บัวขาว ที่บอกว่า “ตั้งแต่ชกมาหมอนี่หมัดหนักที่สุดแล้ว” ซึ่งเจ้าตัวก็ดูเหมือนจะภูมิใจมากๆ กับการได้รับคำชมจาก บัวขาว ในครั้งนี้.","มิ|โน|รุ| |คิมู|ระ| |นัก|สู้|ชาว|ญี่ปุ่น| |เคลื่อนไหว|โลก|โซเชียล| |หลัง|แพ้|น็อก| |บัว|ขาว| |บัญชา|เมฆ| |คา|บ้าน| |ใน|ยก|ที่| |2| |ควันหลง|จาก|ศึก|คิก|บ็อก|ซิ่ง| |RIZIN| |IN| |KOBE| |ที่|ประเทศ|ญี่ปุ่น| |ใน|พิกัด| |74| |กิโลกรัม| |เมื่อ|วัน|เสาร์|ที่ผ่านมา| |ซึ่ง| |บัว|ขาว| |บัญชา|เมฆ| |นัก|ชก|ชื่อดัง|ขวัญใจ|ชาวไทย| |อดีต|แชมป์| |K-|1| |สอง|สมัย| |(|2004|,| |2006|)| |เอาชนะ|น็อก| |มิ|โน|รุ| |คิมู|ระ| |นัก|สู้|เจ้าถิ่น| |ไป|ใน|ยก|ที่| |2| |ล่าสุด| |คิมู|ระ| |มี|การเคลื่อนไหว|ทาง|อินสตาแกรม| |โดย|เขา|ได้|แชร์|ไอ|จี|สตอ|รี่|คำพูด|หลัง|การ|ชก|ของ| |บัว|ขาว| |ที่|บอ|กว่า| |“|ตั้งแต่|ชก|มา|หมอ|นี่|หมัด|หนัก|ที่สุด|แล้ว|”| |ซึ่ง|เจ้าตัว|ก็|ดูเหมือน|จะ|ภูมิใจ|มาก| |กับ|การ|ได้รับ|คำชม|จาก| |บัว|ขาว| |ใน|ครั้งนี้",,,,"[('มิโนรุคิมูระนัก', 'NOUN'), ('สู้', 'NOUN'), ('ชาว', 'NOUN'), ('ญี่ปุ่น', 'PROPN'), ('เคลื่อนไหว', 'VERB'), ('โลก', 'NOUN'), ('โซเชียล', 'NOUN'), ('หลัง', 'ADP'), ('แพ้', 'NOUN'), ('น็อก', 'NOUN'), ('บัวขาว', 'NOUN'), ('บัญชา', 'NOUN'), ('เมฆ', 'NOUN'), ('คา', 'NOUN'), ('บ้าน', 'NOUN'), ('ใน', 'ADP'), ('ยก', 'NOUN'), ('ที่', 'SCONJ'), ('2', 'NUM'), ('ควัน', 'NOUN'), ('หลง', 'VERB'), ('จาก', 'ADP'), ('ศึก', 'NOUN'), ('คิกบ็อก', 'NOUN'), ('ซิ่ง', 'NOUN'), ('RIZININKOBE', 'NOUN'), ('ที่', 'SCONJ'), ('ประเทศญี่ปุ่น', 'VERB'), ('ใน', 'ADP'), ('พิกัด', 'NOUN'), ('74', 'NUM'), ('กิโลกรัม', 'NOUN'), ('เมื่อ', 'SCONJ'), ('วัน', 'NOUN'), ('เสาร์', 'NOUN'), ('ที่', 'SCONJ'), ('ผ่าน', 'VERB'), ('มา', 'AUX'), ('ซึ่ง', 'SCONJ'), ('บัวขาว', 'VERB'), ('บัญชา', 'NOUN'), ('เมฆ', 'ADJ'), ('นัก', 'ADV'), ('ชกชื่อ', 'NOUN'), ('ดัง', 'ADP'), ('ขวัญใจ', 'NOUN'), ('ชาว', 'NOUN'), ('ไทย', 'PROPN'), ('อดีต', 'NOUN'), ('แชมป์', 'NOUN'), ('K', 'NOUN'), ('-', 'PUNCT'), ('1', 'NUM'), ('สอง', 'NUM'), ('สมัย', 'NOUN'), ('(', 'PUNCT'), ('2004', 'NUM'), (',', 'PUNCT'), ('2006', 'NUM'), (')', 'PUNCT'), ('เอา', 'VERB'), ('ชนะ', 'NOUN'), ('น็อก', 'NOUN'), ('มิโนรุคิมู', 'NOUN'), ('ระนัก', 'NOUN'), ('สู้', 'NOUN'), ('เจ้าถิ่น', 'VERB'), ('ไป', 'AUX'), ('ใน', 'ADP'), ('ยก', 'NOUN'), ('ที่', 'SCONJ'), ('2', 'NUM'), ('ล่าสุด', 'ADJ'), ('คิมู', 'NOUN'), ('ระมี', 'NOUN'), ('การ', 'NOUN'), ('เคลื่อนไหว', 'VERB'), ('ทาง', 'NOUN'), ('อินสตาแกรม', 'NOUN'), ('โดย', 'SCONJ'), ('เขา', 'PRON'), ('ได้แชร์', 'VERB'), ('ไอจีสตอรี่', 'NOUN'), ('คำ', 'NOUN'), ('พูด', 'VERB'), ('หลัง', 'ADP'), ('การ', 'NOUN'), ('ชก', 'VERB'), ('ของ', 'ADP'), ('บัวขาว', 'NOUN'), ('ที่', 'SCONJ'), ('บอก', 'VERB'), ('ว่า', 'SCONJ'), ('“', 'NOUN'), ('ตั้งแต่', 'ADP'), ('ชก', 'NOUN'), ('มา', 'AUX'), ('หมอ', 'VERB'), ('นี่', 'PRON'), ('หมัด', 'NOUN'), ('หนัก', 'ADJ'), ('ที่สุด', 'ADV'), ('แล้ว', 'AUX'), ('”', 'VERB'), ('ซึ่ง', 'SCONJ'), ('เจ้าตัว', 'VERB'), ('ก็', 'SCONJ'), ('ดู', 'VERB'), ('เหมือน', 'SCONJ'), ('จะ', 'AUX'), ('ภูมิใจ', 'VERB'), ('มาก', 'ADV'), ('กับ', 'ADP'), ('การ', 'NOUN'), ('ได้', 'VERB'), ('รับ', 'VERB'), ('คำ', 'NOUN'), ('ชม', 'NOUN'), ('จาก', 'ADP'), ('บัว', 'NOUN'), ('ขาว', 'ADJ'), ('ใน', 'ADP'), ('ครั้ง', 'NOUN'), ('นี้', 'DET')]"
"26 มี.ค. 2567  พล.ต.อ.กิตติ์รัฐ พันธุ์เพ็ชร์ รองผู้บัญชาการตำรวจแห่งชาติ  รักษาราชการแทนผู้บัญชาการตำรวจแห่งชาติ , พล.ต.ท.สำราญ นวลมา ผู้ช่วยผู้บัญชาการจำรวจแห่งชาติ , พล.ต.ท.ธิติ แสงสว่าง บัญชาการตำรวจนครบาล และ พล.ต.ต.นพศิลป์ พูลสวัสดิ์ รองผู้บัญชาการตำรวจนครบาล พร้อมทีมสืบสวนนคนบาล 8 ร่วมกันแถลงการจับกุมผู้ต้องหา 6 ราย ซุกซ่อนยาเสพติดก่อนกระจายในพื้นที่ปริมณฑล ตรวจยึดยาบ้า 5.6 ล้านเม็ด และคีตามีน 200 กิโลกรัม ","26| |มี|ค| |2567| | พลตอกิตติ์|รัฐ| |พันธุ์|เพ็ชร์| |รอง|ผู้บัญชาการ|ตำรวจ|แห่งชาติ| |รักษา|ราชการ|แทน|ผู้บัญชาการ|ตำรวจ|แห่งชาติ| |,| |พล|ตท|สำราญ| |นวล|มา| |ผู้ช่วย|ผู้บัญชาการ|จำ|รวจ|แห่งชาติ| |,| |พล|ต|ทธิ|ติ| |แสงสว่าง| |บัญชาการ|ตำรวจนครบาล| |และ| |พล|ตตนพ|ศิลป์| |พูล|สวัสดิ์| |รอง|ผู้บัญชาการ|ตำรวจนครบาล| |พร้อม|ทีม|สืบสวน|นค|น|บาล| |8| |ร่วมกัน|แถลง|การจับกุม|ผู้ต้องหา| |6| |ราย| |ซุกซ่อน|ยาเสพติด|ก่อน|กระจาย|ใน|พื้นที่|ปริมณฑล| |ตรวจ|ยึด|ยาบ้า| |56| |ล้าน|เม็ด| |และ|คีตามีน| |200| |กิโลกรัม|",,,,"[('26', 'NUM'), ('มีค', 'PUNCT'), ('2567', 'NUM'), ('พลตอกิตติ์', 'NOUN'), ('รัฐพันธุ์เพ็ชร์', 'NOUN'), ('รอง', 'ADJ'), ('ผู้', 'SCONJ'), ('บัญชา', 'VERB'), ('การ', 'NOUN'), ('ตำรวจแห่งชาติ', 'VERB'), ('รักษา', 'VERB'), ('ราชการ', 'NOUN'), ('แทน', 'VERB'), ('ผู้', 'SCONJ'), ('บัญชา', 'VERB'), ('การ', 'NOUN'), ('ตำรวจแห่งชาติ', 'VERB'), (',', 'PUNCT'), ('พลตทสำราญ', 'NOUN'), ('นวล', 'NOUN'), ('มา', 'AUX'), ('ผู้', 'SCONJ'), ('ช่วย', 'VERB'), ('ผู้', 'PRON'), ('บัญชา', 'VERB'), ('การ', 'NOUN'), ('จำรวจแห่งชาติ', 'VERB'), (',', 'PUNCT'), ('พลตทธิติแสง', 'NOUN'), ('สว่าง', 'ADJ'), ('บัญชาการตำรวจนครบาล', 'NOUN'), ('และ', 'CCONJ'), ('พลตตนพศิลป์พูลสวัสดิ์', 'NOUN'), ('รอง', 'ADJ'), ('ผู้', 'SCONJ'), ('บัญชา', 'VERB'), ('การ', 'NOUN'), ('ตำรวจนครบาล', 'VERB'), ('พร้อม', 'VERB'), ('ทีม', 'NOUN'), ('สืบสวน', 'NOUN'), ('นคน', 'NOUN'), ('บาล', 'NOUN'), ('8', 'NUM'), ('ร่วม', 'VERB'), ('กัน', 'ADV'), ('แถลง', 'NOUN'), ('การ', 'NOUN'), ('จับกุม', 'VERB'), ('ผู้', 'PRON'), ('ต้อง', 'AUX'), ('หา', 'VERB'), ('6', 'NUM'), ('ราย', 'NOUN'), ('ซุกซ่อน', 'NOUN'), ('ยา', 'VERB'), ('เสพ', 'NOUN'), ('ติด', 'VERB'), ('ก่อน', 'ADP'), ('กระจาย', 'VERB'), ('ใน', 'ADP'), ('พื้นที่', 'NOUN'), ('ปริมณฑล', 'VERB'), ('ตรวจ', 'VERB'), ('ยึด', 'VERB'), ('ยา', 'NOUN'), ('บ้า', 'DET'), ('56', 'NUM'), ('ล้าน', 'NOUN'), ('เม็ด', 'NOUN'), ('และ', 'CCONJ'), ('คีตามีน', 'NOUN'), ('200', 'NUM'), ('กิโลกรัม', 'NOUN')]"
(26 มี.ค. 2567) นายไพโรจน์ โชติกเสถียร ปลัดกระทรวงแรงงาน เป็นประธานประชุม คณะกรรมการค่าจ้างขั้นต่ำ ชุดที่ 22 (ไตรภาคี) เพื่อหาข้อสรุปปรับเพิ่ม “ค่าแรงขั้นต่ำ” เป็นครั้งที่ 2 ของปีงบประมาณ 2567 หลังจากมีการปรับสูตรการพิจารณาใหม่ที่อิงกับภาวะเงินเฟ้อ ประเภทการทำงาน ทักษะฝีมือแรงงาน และบริบทพื้นที่ โดยที่ประชุมมีมติเป็นเอกฉันท์ให้ “ขึ้นค่าแรงขั้นต่ำ” ใน 10 จังหวัดนำร่อง,(|26| |มี|ค| |2567|)| |นาย|ไพโรจน์| |โชติก|เสถียร| |ปลัดกระทรวง|แรงงาน| |เป็น|ประธาน|ประชุม| |คณะกรรมการ|ค่าจ้างขั้นต่ำ| |ชุด|ที่| |22| |(|ไตรภาคี|)| |เพื่อ|หา|ข้อสรุป|ปรับ|เพิ่ม| “|ค่าแรงขั้นต่ำ|” |เป็น|ครั้ง|ที่| |2| |ของ|ปีงบประมาณ| |2567| |หลังจาก|มี|การ|ปรับ|สูตร|การพิจารณา|ใหม่|ที่|อิง|กับ|ภาวะเงินเฟ้อ| |ประเภท|การทำงาน| |ทักษะ|ฝีมือ|แรงงาน| |และ|บริบท|พื้นที่| |โดย|ที่ประชุม|มีมติ|เป็นเอกฉันท์|ให้| “|ขึ้น|ค่าแรงขั้นต่ำ|” |ใน| |10| |จังหวัด|นำร่อง,,,,"[('(', 'PUNCT'), ('26', 'NUM'), ('มีค', 'PUNCT'), ('2567', 'NUM'), (')', 'PUNCT'), ('นายไพโรจน์โชติกเสถียร', 'PUNCT'), ('ปลัด', 'NOUN'), ('กระทรวงแรงงาน', 'NOUN'), ('เป็น', 'VERB'), ('ประธาน', 'NOUN'), ('ประชุม', 'VERB'), ('คณะ', 'NOUN'), ('กรรมการ', 'NOUN'), ('ค่า', 'NOUN'), ('จ้าง', 'NOUN'), ('ขั้น', 'NOUN'), ('ต่ำ', 'ADJ'), ('ชุด', 'NOUN'), ('ที่', 'SCONJ'), ('22', 'NUM'), ('(', 'PUNCT'), ('ไตรภาคี', 'NOUN'), (')', 'PUNCT'), ('เพื่อ', 'SCONJ'), ('หา', 'VERB'), ('ข้อ', 'NOUN'), ('สรุป', 'VERB'), ('ปรับ', 'VERB'), ('เพิ่ม', 'VERB'), ('“', 'NOUN'), ('ค่า', 'NOUN'), ('แรง', 'ADJ'), ('ขั้น', 'NOUN'), ('ต่ำ', 'ADJ'), ('”', 'ADV'), ('เป็น', 'VERB'), ('ครั้ง', 'NOUN'), ('ที่', 'SCONJ'), ('2', 'NUM'), ('ของ', 'ADP'), ('ปี', 'NOUN'), ('งบ', 'NOUN'), ('ประมาณ', 'DET'), ('2567', 'NUM'), ('หลัง', 'ADJ'), ('จาก', 'ADP'), ('มี', 'VERB'), ('การ', 'NOUN'), ('ปรับ', 'VERB'), ('สูตร', 'NOUN'), ('การ', 'NOUN'), ('พิจารณา', 'VERB'), ('ใหม่', 'ADV'), ('ที่', 'SCONJ'), ('อิง', 'VERB'), ('กับ', 'ADP'), ('ภาวะ', 'NOUN'), ('เงิน', 'NOUN'), ('เฟ้อ', 'NOUN'), ('ประเภท', 'NOUN'), ('การ', 'NOUN'), ('ทำ', 'VERB'), ('งาน', 'NOUN'), ('ทักษะ', 'NOUN'), ('ฝีมือ', 'NOUN'), ('แรงงาน', 'NOUN'), ('และ', 'CCONJ'), ('บริบท', 'NOUN'), ('พื้นที่', 'NOUN'), ('โดย', 'SCONJ'), ('ที่', 'SCONJ'), ('ประชุม', 'VERB'), ('มี', 'VERB'), ('มติ', 'NOUN'), ('เป็น', 'VERB'), ('เอกฉันท์', 'NOUN'), ('ให้', 'SCONJ'), ('“', 'NOUN'), ('ขึ้น', 'VERB'), ('ค่า', 'NOUN'), ('แรง', 'ADJ'), ('ขั้น', 'NOUN'), ('ต่ำ', 'ADJ'), ('”', 'NOUN'), ('ใน', 'ADP'), ('10', 'NUM'), ('จังหวัด', 'NOUN'), ('นำ', 'VERB'), ('ร่อง', 'NOUN')]"
โดยนายบรรจง เปิดเผยว่า ก่อนหน้านี้ ตนมีเรื่องฟ้องร้องคดีกับทางภรรยา ต่อมาตัดสินใจถอนฟ้องและขอหย่า โดยตกลงว่าจะยกทรัพย์สมบัติให้กับภรรยาและลูกทั้งหมด ขอแค่เพียงมีคนจ่ายค่ารักษาพยาบาลและพาไปโรงพยาบาลตามที่หมอนัด เนื่องจากตนมีโรคประจำตัวหลายโรค ทั้งโรคหัวใจ พาร์กินสัน  เข่าเสื่อม ลำไส้และต่อมลูกหมาก ซึ่งในตอนนั้น ทางภรรยาก็ยังสัญญาว่าจะให้เงินอีกเดือนละ 2 หมื่นบาท,โดย|นาย|บรรจง| |เปิดเผย|ว่า| |ก่อนหน้านี้| |ตน|มีเรื่อง|ฟ้องร้อง|คดี|กับ|ทาง|ภรรยา| |ต่อมา|ตัดสินใจ|ถอนฟ้อง|และ|ขอ|หย่า| |โดย|ตกลง|ว่า|จะ|ยก|ทรัพย์สมบัติ|ให้|กับ|ภรรยา|และ|ลูก|ทั้งหมด| |ขอ|แค่|เพียง|มี|คน|จ่าย|ค่ารักษาพยาบาล|และ|พา|ไป|โรงพยาบาล|ตามที่|หมอ|นัด| |เนื่องจาก|ตน|มี|โรคประจำตัว|หลาย|โรค| |ทั้ง|โรคหัวใจ| |พาร์กินสัน| | |เข่า|เสื่อม| |ลำไส้|และ|ต่อมลูกหมาก| |ซึ่ง|ใน|ตอนนั้น| |ทาง|ภรรยา|ก็|ยัง|สัญญา|ว่า|จะ|ให้เงิน|อีก|เดือน|ละ| |2| |หมื่น|บาท,,,,"[('โดย', 'SCONJ'), ('นายบรรจง', 'VERB'), ('เปิดเผย', 'VERB'), ('ว่า', 'SCONJ'), ('ก่อนหน้า', 'NOUN'), ('นี้', 'DET'), ('ตน', 'PRON'), ('มี', 'VERB'), ('เรื่อง', 'NOUN'), ('ฟ้องร้อง', 'NOUN'), ('คดี', 'VERB'), ('กับ', 'ADP'), ('ทาง', 'NOUN'), ('ภรรยา', 'NOUN'), ('ต่อ', 'ADP'), ('มา', 'AUX'), ('ตัดสินใจ', 'VERB'), ('ถอน', 'ADV'), ('ฟ้อง', 'NOUN'), ('และ', 'CCONJ'), ('ขอ', 'VERB'), ('หย่า', 'NOUN'), ('โดย', 'ADP'), ('ตกลง', 'VERB'), ('ว่า', 'SCONJ'), ('จะ', 'AUX'), ('ยก', 'VERB'), ('ทรัพย์สมบัติ', 'VERB'), ('ให้', 'SCONJ'), ('กับ', 'ADP'), ('ภรรยา', 'NOUN'), ('และ', 'CCONJ'), ('ลูก', 'NOUN'), ('ทั้งหมด', 'DET'), ('ขอ', 'VERB'), ('แค่', 'DET'), ('เพียง', 'DET'), ('มี', 'VERB'), ('คน', 'NOUN'), ('จ่าย', 'VERB'), ('ค่า', 'NOUN'), ('รักษาพยาบาล', 'NOUN'), ('และ', 'CCONJ'), ('พา', 'NOUN'), ('ไป', 'AUX'), ('โรง', 'VERB'), ('พยาบาล', 'NOUN'), ('ตาม', 'ADP'), ('ที่', 'SCONJ'), ('หมอ', 'NOUN'), ('นัด', 'VERB'), ('เนื่อง', 'NOUN'), ('จาก', 'ADP'), ('ตน', 'NOUN'), ('มี', 'VERB'), ('โรค', 'NOUN'), ('ประจำ', 'ADJ'), ('ตัว', 'NOUN'), ('หลาย', 'DET'), ('โรค', 'NOUN'), ('ทั้ง', 'CCONJ'), ('โรค', 'NOUN'), ('หัวใจ', 'NOUN'), ('พาร์กิน', 'VERB'), ('สัน', 'NOUN'), ('เข่า', 'NOUN'), ('เสื่อม', 'VERB'), ('ลำ', 'NOUN'), ('ไส้', 'NOUN'), ('และ', 'CCONJ'), ('ต่อม', 'NOUN'), ('ลูกหมาก', 'ADJ'), ('ซึ่ง', 'SCONJ'), ('ใน', 'ADP'), ('ตอน', 'NOUN'), ('นั้น', 'DET'), ('ทาง', 'ADP'), ('ภรรยา', 'NOUN'), ('ก็', 'SCONJ'), ('ยัง', 'AUX'), ('สัญญา', 'ADJ'), ('ว่า', 'SCONJ'), ('จะ', 'AUX'), ('ให้', 'VERB'), ('เงิน', 'NOUN'), ('อีก', 'DET'), ('เดือน', 'NOUN'), ('ละ', 'ADP'), ('2', 'NUM'), ('หมื่น', 'NUM'), ('บาท', 'NOUN')]"
